Mon Jun 10 18:32:24 PDT 2019
{
    "FunctionName": "IO",
    "FunctionArn": "arn:aws:lambda:us-west-2:409678341140:function:IO",
    "Runtime": "java8",
    "Role": "arn:aws:iam::409678341140:role/service-role/simple_microservice_role",
    "Handler": "lambda.IO::handleRequest",
    "CodeSize": 22897,
    "Description": "",
    "Timeout": 300,
    "MemorySize": 1280,
    "LastModified": "2019-06-07T05:59:58.345+0000",
    "CodeSha256": "t+Ll3Z3Noe8OwSpxQ757YkDpUy/J9y/ruFu+lIUpWa4=",
    "Version": "$LATEST",
    "VpcConfig": {
        "SubnetIds": [
            "subnet-48471c03"
        ],
        "SecurityGroupIds": [
            "sg-3f550674"
        ],
        "VpcId": "vpc-1eed4166"
    },
    "TracingConfig": {
        "Mode": "PassThrough"
    },
    "RevisionId": "90752e16-ed49-4086-b139-45c2dc95fc8c"
}
Setting up test: runsperthread=1 threads=100 totalruns=100
run_id,thread_id,uuid,cputype,cpusteal,vmuptime,pid,cpuusr,cpukrn,elapsed_time,server_runtime,latency,sleep_time_ms,new_container
1,40,"429216d2-c144-40e9-ad7b-343e71f2c280","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35488,2926,32562,-34.48800000000000000000,1
1,41,"4828b920-a224-4e28-8b1d-ac1ab19132f5","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212111,null,null,null,23640,1872,21768,-22.64000000000000000000,0
1,42,"7886ad87-c407-49a4-bd49-a3bd45d5402e","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211808,null,null,null,22888,1283,21605,-21.88800000000000000000,0
1,43,"f782b2ad-b307-4acf-94ad-fd1f3f130444","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213077,null,null,null,35647,3137,32510,-34.64700000000000000000,1
1,44,"8af75058-c187-4baa-b8dc-dc3279fe72d0","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35538,3006,32532,-34.53800000000000000000,1
1,45,"d36903b1-bbf8-4c49-9b4b-82bab98ddb4d","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213077,null,null,null,35597,3089,32508,-34.59700000000000000000,1
1,46,"48bec79c-56cc-4885-a133-10ef2fdd4885","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212156,null,null,null,23437,1821,21616,-22.43700000000000000000,0
1,47,"113630cf-3c74-4816-8e53-1c05b85c1ff9","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212155,null,null,null,23254,1761,21493,-22.25400000000000000000,0
1,48,"de7dddfc-1b46-4e5b-91d9-4608ef001b84","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213272,null,null,null,36694,3136,33558,-35.69400000000000000000,1
1,49,"f14f211c-fc1d-4f8c-a7a3-117497c704a5","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35408,2998,32410,-34.40800000000000000000,1
1,50,"f3970cec-0a8e-4466-a184-c4493aff1bec","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560212996,null,null,null,34680,1684,32996,-33.68000000000000000000,1
1,51,"81a50d47-57d0-4e4d-a09d-c01fb425f1d2","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560213063,null,null,null,34118,1656,32462,-33.11800000000000000000,1
1,52,"94a47292-f4c8-4d1d-b674-ed4f6c6ceac3","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211772,null,null,null,22785,1087,21698,-21.78500000000000000000,0
1,53,"dcaa2900-c618-493a-a2e1-08d536532b00","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212155,null,null,null,23431,1920,21511,-22.43100000000000000000,0
1,54,"d60c8c95-163f-4906-a049-16c8a1872a8c","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560212996,null,null,null,34520,1697,32823,-33.52000000000000000000,1
1,55,"d22f6b8f-1627-44ab-ae17-2454099b22c9","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211808,null,null,null,22686,1101,21585,-21.68600000000000000000,0
1,56,"8730f68c-4c6a-40bc-9e36-1a6f4412685c","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560212816,null,null,null,32884,1629,31255,-31.88400000000000000000,1
1,57,"16e0cd01-f4eb-416d-86cb-5d015234e737","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213272,null,null,null,36226,3110,33116,-35.22600000000000000000,1
1,58,"c3c5a971-9d6c-4ff3-9ab4-cb162f2f7124","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213301,null,null,null,35856,2953,32903,-34.85600000000000000000,1
1,59,"92bc7f41-8944-4325-bba8-32514475f758","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212111,null,null,null,23189,1911,21278,-22.18900000000000000000,0
1,60,"2457c10d-0d68-4702-80e3-35df0fae0830","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35696,2975,32721,-34.69600000000000000000,1
1,61,"3d279c26-8c54-4680-b4bd-0af33f5cfeef","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560212816,null,null,null,32731,1648,31083,-31.73100000000000000000,1
1,62,"ce111918-48d6-4bda-a3ca-6607be010cf3","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560213063,null,null,null,33684,1693,31991,-32.68400000000000000000,1
1,63,"ce8d8335-8819-48bc-8623-48b6678e6041","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211772,null,null,null,22457,1131,21326,-21.45700000000000000000,0
1,64,"be51b62d-2a51-4721-bbe3-9c1a10f1958c","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560212156,null,null,null,23294,1880,21414,-22.29400000000000000000,0
1,65,"8031947a-e9d6-46b1-9107-d71b3f0de3f0","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,34725,2966,31759,-33.72500000000000000000,1
1,66,"ed598f4a-46a8-4762-9fea-eb184dbdfd5a","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213389,null,null,null,35937,3098,32839,-34.93700000000000000000,1
1,67,"fd55a59a-c0e3-478b-8929-015bc37422a4","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213301,null,null,null,35361,2928,32433,-34.36100000000000000000,1
1,68,"7886ad87-c407-49a4-bd49-a3bd45d5402e","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211808,null,null,null,22641,1324,21317,-21.64100000000000000000,0
1,69,"9bbd6467-a50e-4241-a7a3-4941a06fbe85","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213288,null,null,null,35380,3056,32324,-34.38000000000000000000,1
1,70,"49bc1397-762e-45d8-a948-ba88d6fea176","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213389,null,null,null,35596,3060,32536,-34.59600000000000000000,1
1,71,"1e4aa384-211b-4395-bcff-b6288eb2ba1d","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213288,null,null,null,35285,3021,32264,-34.28500000000000000000,1
1,72,"a699c12d-fcfd-45d0-a53c-44cd6b09660d","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35063,2946,32117,-34.06300000000000000000,1
1,73,"3926ba28-97df-4c71-936e-03e9927ec497","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213388,null,null,null,35270,2984,32286,-34.27000000000000000000,1
1,74,"0119e0e4-6745-4ce2-867e-d3c8d87c5aae","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213352,null,null,null,37126,2879,34247,-36.12600000000000000000,1
1,75,"24a6b2bf-5c11-4a3b-ad04-1c3ac226a5fa","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213301,null,null,null,35681,3078,32603,-34.68100000000000000000,1
1,76,"89bde8e1-fa61-480e-add4-febdc858f091","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213389,null,null,null,35566,2894,32672,-34.56600000000000000000,1
1,77,"03741671-ded5-475c-9c42-18366ddde204","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,34707,2961,31746,-33.70700000000000000000,1
1,78,"69d46e75-02f2-472a-81df-55a2923b3dae","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213388,null,null,null,35092,2990,32102,-34.09200000000000000000,1
1,79,"d22f6b8f-1627-44ab-ae17-2454099b22c9","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211808,null,null,null,22532,1207,21325,-21.53200000000000000000,0
1,80,"0ff3b069-8eab-4577-b71b-77a2bca87768","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213389,null,null,null,35288,2870,32418,-34.28800000000000000000,1
1,81,"d4483ebc-5a46-490a-98c7-9d2ceaa73a9b","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213301,null,null,null,35235,2997,32238,-34.23500000000000000000,1
1,82,"61f408db-1017-4824-8b23-19f8c381726e","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213273,null,null,null,35896,2902,32994,-34.89600000000000000000,1
1,83,"1619d62e-4df6-460e-ab3d-7e8d88addac6","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560212999,null,null,null,33685,1664,32021,-32.68500000000000000000,1
1,84,"e94ac5c3-93c5-4a0c-aebc-bd514d7bed0e","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560212999,null,null,null,33771,1628,32143,-32.77100000000000000000,1
1,85,"1c171ff2-76b6-497e-864c-b501ac86cf4c","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213356,null,null,null,35735,3067,32668,-34.73500000000000000000,1
1,86,"de691219-03fc-4844-9180-d004be98574c","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213352,null,null,null,36394,2893,33501,-35.39400000000000000000,1
1,87,"94a47292-f4c8-4d1d-b674-ed4f6c6ceac3","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211772,null,null,null,22062,1091,20971,-21.06200000000000000000,0
1,88,"a1f65d73-8c94-4b66-8719-713d75e4d4ca","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560213058,null,null,null,32802,1612,31190,-31.80200000000000000000,1
1,89,"3f93bf4d-2d6e-4dc5-ae12-19047cc39cd8","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,34026,2918,31108,-33.02600000000000000000,1
1,90,"ce8d8335-8819-48bc-8623-48b6678e6041","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560211772,null,null,null,22477,1228,21249,-21.47700000000000000000,0
1,91,"8e2c5d15-eee6-4a9b-b50e-d278e43982b1","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213356,null,null,null,35411,2991,32420,-34.41100000000000000000,1
1,92,"b5f62a8a-270e-4255-9311-9c9a6261182d","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213388,null,null,null,34610,2915,31695,-33.61000000000000000000,1
1,93,"e1708841-3227-46c4-ad83-63e64d44331d","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",null,1560213058,null,null,null,32516,1624,30892,-31.51600000000000000000,1
1,94,"9b22bc71-e919-4fc6-97c8-0de944e231c1","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213273,null,null,null,35237,2940,32297,-34.23700000000000000000,1
1,95,"01ea4b95-6f6a-4b7f-8f7f-2202d47aef19","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213078,null,null,null,34434,2559,31875,-33.43400000000000000000,1
1,96,"29c57188-6341-4076-a629-4f4ade85d522","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213388,null,null,null,34415,2936,31479,-33.41500000000000000000,1
1,97,"d7e5d4e4-05fd-4114-aa9a-1a4a93e927e1","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35391,3024,32367,-34.39100000000000000000,1
1,98,"b972cc6c-c56b-40c8-bdbb-0fda48deeda0","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213104,null,null,null,35322,3020,32302,-34.32200000000000000000,1
1,99,"7d8de48e-afb5-4f65-beee-536a04018503","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213413,null,null,null,33656,3029,30627,-32.65600000000000000000,1
1,100,"4939074d-45e3-456e-ad5c-7e69cbec99f4","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",null,1560213413,null,null,null,33615,2991,30624,-32.61500000000000000000,1
uuid,host,cputype,uses,totaltime,avgruntime_cont,avgsstuntime_cont,avglatency_cont,uses_minus_avguses_sq
"113630cf-3c74-4816-8e53-1c05b85c1ff9","ip-10-135-228-195-1560212155","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",4,87994,21998,1578,20421,6.718464
"be51b62d-2a51-4721-bbe3-9c1a10f1958c","ip-10-135-125-208-1560212156","Intel(R)_Xeon(R)_CPU_E5-2680_v2_@_2.80GHzstepping",4,90115,22529,1869,20660,6.718464
"7886ad87-c407-49a4-bd49-a3bd45d5402e","ip-10-128-109-242-1560211808","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",4,90134,22534,1250,21284,6.718464
"94a47292-f4c8-4d1d-b674-ed4f6c6ceac3","ip-10-138-31-239-1560211772","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",5,112832,22566,1009,21558,12.902464
"ce8d8335-8819-48bc-8623-48b6678e6041","ip-10-138-31-239-1560211772","Intel(R)_Xeon(R)_CPU_E5-2676_v3_@_2.40GHzstepping",5,113195,22639,1139,21500,12.902464
